dataset iteration patterns bound bound_std
ENZYMES 1 1-WL 1.3909393578123175 0.004837457240303508
ENZYMES 1 2-path,3-path,4-path,5-path 30.958153647461916 0.0
ENZYMES 1 triangle,4-cycle,5-cycle,6-cycle 30.247126197073566 0.0
ENZYMES 1 triangle,4-clique,5-clique,6-clique 18.20510878681931 4.196778036257021e-10
ENZYMES 2 1-WL 12.557701727744728 0.00019778020326112873
ENZYMES 2 2-path,3-path,4-path,5-path 38.13589881334012 0.0
ENZYMES 2 triangle,4-cycle,5-cycle,6-cycle 38.64560810429218 0.0
ENZYMES 2 triangle,4-clique,5-clique,6-clique 30.60769745244918 2.621566160452813e-07
ENZYMES 3 1-WL 30.14965103516361 0.0012096209097885362
ENZYMES 3 2-path,3-path,4-path,5-path 41.3723126604054 0.0
ENZYMES 3 triangle,4-cycle,5-cycle,6-cycle 47.260753297534066 3.3700883363962933e-07
ENZYMES 3 triangle,4-clique,5-clique,6-clique 40.681097839166526 0.0
ENZYMES 4 1-WL 41.50095806422793 3.370111870822103e-07
ENZYMES 4 2-path,3-path,4-path,5-path 43.832351260632116 0.0
ENZYMES 4 triangle,4-cycle,5-cycle,6-cycle 52.2334873034363 0.0
ENZYMES 4 triangle,4-clique,5-clique,6-clique 47.31137923242053 0.0
ENZYMES 5 1-WL 47.331472910688014 1.7775237779481745e-07
ENZYMES 5 2-path,3-path,4-path,5-path 44.65265776519935 0.0
ENZYMES 5 triangle,4-cycle,5-cycle,6-cycle 54.629463106916965 3.3700883079745835e-07
ENZYMES 5 triangle,4-clique,5-clique,6-clique 52.84077145442676 3.3700882795528747e-07
ENZYMES 6 1-WL 53.50930853092025 3.240573463185507e-14
ENZYMES 6 2-path,3-path,4-path,5-path 44.65265776519935 0.0
ENZYMES 6 triangle,4-cycle,5-cycle,6-cycle 56.54567644993574 0.0
ENZYMES 6 triangle,4-clique,5-clique,6-clique 58.32572055218226 0.0
PROTEINS 1 1-WL 1.1928392919612278 0.6318857425015612
PROTEINS 1 2-path,3-path,4-path,5-path 20.435952270119543 1.912322632607045
PROTEINS 1 triangle,4-cycle,5-cycle,6-cycle 19.828710274848948 1.608688767701671
PROTEINS 1 triangle,4-clique,5-clique,6-clique 9.737124504604086 0.7858073653797435
PROTEINS 2 1-WL 6.8097940224889175 0.9462046609349368
PROTEINS 2 2-path,3-path,4-path,5-path 26.469404326836365 3.0906207012457196
PROTEINS 2 triangle,4-cycle,5-cycle,6-cycle 27.823877233159454 2.6061063013029453
PROTEINS 2 triangle,4-clique,5-clique,6-clique 19.064123607387018 1.2342101735505915
PROTEINS 3 1-WL 18.93740779229308 1.5304709119341129
PROTEINS 3 2-path,3-path,4-path,5-path 30.52078802003495 3.943876862136961
PROTEINS 3 triangle,4-cycle,5-cycle,6-cycle 33.39157834320517 3.5915610317296904
PROTEINS 3 triangle,4-clique,5-clique,6-clique 26.39525777176026 2.0398776565220476
PROTEINS 4 1-WL 27.352070924450608 2.169202803095225
PROTEINS 4 2-path,3-path,4-path,5-path 32.782063665158624 5.199170425389885
PROTEINS 4 triangle,4-cycle,5-cycle,6-cycle 37.54671435535809 4.2913673121433655
PROTEINS 4 triangle,4-clique,5-clique,6-clique 32.38953421570076 2.803486209469888
PROTEINS 5 1-WL 33.68891511414392 2.9730884332454175
PROTEINS 5 2-path,3-path,4-path,5-path 34.96002596781083 6.4940219254754705
PROTEINS 5 triangle,4-cycle,5-cycle,6-cycle 40.109646994520425 5.030578172257288
PROTEINS 5 triangle,4-clique,5-clique,6-clique 37.83967283256889 3.5636090730223646
PROTEINS 6 1-WL 38.02080326458372 4.074259104484185
PROTEINS 6 2-path,3-path,4-path,5-path 36.206818260617524 7.640196315299701
PROTEINS 6 triangle,4-cycle,5-cycle,6-cycle 41.84303167533344 5.9699617086215815
PROTEINS 6 triangle,4-clique,5-clique,6-clique 42.04716707282607 4.542152293700141
PTC_MR 1 1-WL 0.9014868671190589 0.004697835577823584
PTC_MR 1 2-path,3-path,4-path,5-path 16.116287396580283 0.057747844852859484
PTC_MR 1 triangle,4-cycle,5-cycle,6-cycle 13.428515122498471 0.14704773829969822
PTC_MR 1 triangle,4-clique,5-clique,6-clique 1.7086127549271635 0.006181843324438237
PTC_MR 2 1-WL 3.5127442039999695 0.043925587908291215
PTC_MR 2 2-path,3-path,4-path,5-path 23.203613485200446 0.3714016516493473
PTC_MR 2 triangle,4-cycle,5-cycle,6-cycle 21.145298862332993 0.22632160854249153
PTC_MR 2 triangle,4-clique,5-clique,6-clique 5.2386271268320375 0.11502797633857635
PTC_MR 3 1-WL 9.220445553824701 0.10585287064155113
PTC_MR 3 2-path,3-path,4-path,5-path 28.13877069107304 0.1827264383812434
PTC_MR 3 triangle,4-cycle,5-cycle,6-cycle 25.913304345691056 0.1723582307496219
PTC_MR 3 triangle,4-clique,5-clique,6-clique 10.263905084336091 0.152165218586066
PTC_MR 4 1-WL 16.48671758788809 0.23040186966426432
PTC_MR 4 2-path,3-path,4-path,5-path 31.309265611915816 0.0
PTC_MR 4 triangle,4-cycle,5-cycle,6-cycle 30.25399471154363 0.1554213726625434
