dataset iteration patterns bound bound_std
Cora 1 1-WL 3.6089698909573427 0.0011870512026855853
Cora 1 2-path,3-path,4-path,5-path 4.4523411153559636 0.049058806287160604
Cora 1 triangle,4-cycle,5-cycle,6-cycle 4.491933067708301 0.05363978304914979
Cora 1 triangle,4-clique,5-clique,6-clique 4.087103828726351 0.003484258365296308
Cora 2 1-WL 3.9953355277258225 0.0033336795426017075
Cora 2 2-path,3-path,4-path,5-path 4.4523411153559636 0.049058806287160604
Cora 2 triangle,4-cycle,5-cycle,6-cycle 5.833173384638567 0.07308100277747918
Cora 2 triangle,4-clique,5-clique,6-clique 5.512816972912331 0.12829765222833261
Cora 3 1-WL 5.51535573972628 0.1252817428252145
Cora 3 2-path,3-path,4-path,5-path 4.4523411153559636 0.049058806287160604
Cora 3 triangle,4-cycle,5-cycle,6-cycle 5.833173384638567 0.07308100277747918
Cora 3 triangle,4-clique,5-clique,6-clique 6.483381932693478 0.1508307878279729
Cora 4 1-WL 6.399697020728526 0.14355061921302814
Cora 4 2-path,3-path,4-path,5-path 4.4523411153559636 0.049058806287160604
Cora 4 triangle,4-cycle,5-cycle,6-cycle 5.833173384638567 0.07308100277747918
Cora 4 triangle,4-clique,5-clique,6-clique 7.429156118820754 0.15792729650038245
Cora 5 1-WL 7.383119680440144 0.15059128976917524
Cora 5 2-path,3-path,4-path,5-path 4.4523411153559636 0.049058806287160604
Cora 5 triangle,4-cycle,5-cycle,6-cycle 5.833173384638567 0.07308100277747918
Cora 5 triangle,4-clique,5-clique,6-clique 8.305901125199497 0.1656319350824779
Cora 6 1-WL 7.383119680440144 0.15059128976917524
Cora 6 2-path,3-path,4-path,5-path 4.4523411153559636 0.049058806287160604
Cora 6 triangle,4-cycle,5-cycle,6-cycle 5.833173384638567 0.07308100277747918
Cora 6 triangle,4-clique,5-clique,6-clique 8.305901125199497 0.1656319350824779
CiteSeer 1 1-WL 3.9973180059374656 0.01595571214635597
CiteSeer 1 2-path,3-path,4-path,5-path 4.424572275665886 0.018361461594285203
CiteSeer 1 triangle,4-cycle,5-cycle,6-cycle 4.375728640935667 0.021812226768261236
CiteSeer 1 triangle,4-clique,5-clique,6-clique 3.9977372851896233 0.015860370109476517
CiteSeer 2 1-WL 4.005280111787105 0.016955942270397227
CiteSeer 2 2-path,3-path,4-path,5-path 5.345839048432461 0.03505019556999949
CiteSeer 2 triangle,4-cycle,5-cycle,6-cycle 5.277259873614449 0.04153459391099551
CiteSeer 2 triangle,4-clique,5-clique,6-clique 4.382217571667988 0.011448276449826402
CiteSeer 3 1-WL 4.45909626336135 0.01932698739375645
CiteSeer 3 2-path,3-path,4-path,5-path 5.345839048432461 0.03505019556999949
CiteSeer 3 triangle,4-cycle,5-cycle,6-cycle 6.114632988864732 0.04888857628002889
CiteSeer 3 triangle,4-clique,5-clique,6-clique 5.072202477318245 0.031252629949679464
CiteSeer 4 1-WL 5.1061207465506095 0.030667884874779065
CiteSeer 4 2-path,3-path,4-path,5-path 5.345839048432461 0.03505019556999949
CiteSeer 4 triangle,4-cycle,5-cycle,6-cycle 6.114632988864732 0.04888857628002889
CiteSeer 4 triangle,4-clique,5-clique,6-clique 5.869050567534053 0.03502714326909207
CiteSeer 5 1-WL 5.85854570073148 0.04737081561083252
CiteSeer 5 2-path,3-path,4-path,5-path 5.345839048432461 0.03505019556999949
CiteSeer 5 triangle,4-cycle,5-cycle,6-cycle 6.114632988864732 0.04888857628002889
CiteSeer 5 triangle,4-clique,5-clique,6-clique 6.590823951656674 0.03988053557082726
CiteSeer 6 1-WL 6.611973726168908 0.05584419967715376
CiteSeer 6 2-path,3-path,4-path,5-path 5.345839048432461 0.03505019556999949
CiteSeer 6 triangle,4-cycle,5-cycle,6-cycle 6.114632988864732 0.04888857628002889
CiteSeer 6 triangle,4-clique,5-clique,6-clique 6.590823951656674 0.03988053557082726
PubMed 1 1-WL 0.22451703587573624 0.010097763738469712
PubMed 1 2-path,3-path,4-path,5-path 0.9523561651933568 0.0038589605141393403
PubMed 1 triangle,4-cycle,5-cycle,6-cycle 0.9461408654765939 0.015455863682414363
