#graph,cycle length=3,cycle length=4,cycle length=5,cycle length=6,cycle length=7,cycle length=8,cycle length=9,cycle length=10,# nodes,# edges,max degree,y
0,34,48,74,146,301,609,745,351,37,84,7,5
1,32,42,65,98,163,272,427,282,23,51,6,5
2,19,18,11,10,4,0,0,0,25,46,6,5
3,16,16,12,8,2,0,0,0,24,45,5,5
4,24,22,15,14,10,4,0,0,23,45,6,5
5,21,20,9,4,2,0,0,0,24,46,6,5
6,37,60,90,144,197,220,195,75,26,59,7,5
7,1,36,7,71,19,203,44,0,88,133,8,5
8,13,11,3,0,0,0,0,0,23,39,5,5
9,10,6,0,0,0,0,0,0,32,53,5,5
10,4,3,0,0,0,0,0,0,4,6,3,5
11,19,25,26,24,20,16,8,0,14,28,6,5
12,14,18,12,5,0,0,0,0,42,75,5,5
13,14,18,12,5,0,0,0,0,41,73,5,5
14,15,14,8,5,4,2,0,0,36,64,5,5
15,20,25,27,39,17,10,8,2,55,97,6,5
16,49,68,99,149,254,515,889,625,40,95,7,5
17,49,77,113,170,268,515,889,625,38,91,7,5
18,0,0,0,0,0,0,0,0,2,1,1,5
19,29,50,82,96,72,61,12,0,35,70,7,5
20,29,49,81,139,155,130,119,55,42,90,7,5
21,29,49,81,139,155,130,119,55,41,90,6,5
22,26,46,79,142,174,158,158,87,39,81,6,5
23,29,49,81,139,155,130,119,55,42,92,6,5
24,25,38,58,100,96,46,26,12,41,88,6,5
25,29,49,81,139,155,130,119,55,40,85,7,5
26,28,52,103,229,517,1102,1989,862,37,83,7,5
27,29,40,57,84,120,160,102,49,23,49,6,5
28,29,40,53,60,55,48,41,27,22,47,6,5
29,22,23,26,32,31,22,10,0,34,66,6,5
30,38,41,41,53,50,40,26,6,38,81,7,5
31,34,42,38,43,29,13,0,0,38,79,7,5
32,26,30,33,44,43,14,0,0,39,82,7,5
33,9,8,2,0,0,0,0,0,8,14,5,5
34,15,12,8,6,5,4,2,0,23,44,5,5
35,15,25,26,36,36,28,48,24,42,81,8,5
36,15,25,26,36,36,28,48,24,42,80,7,5
37,0,0,0,0,0,0,0,0,100,16,2,5
38,15,12,4,2,0,0,0,0,24,43,6,5
39,28,34,39,33,20,19,0,0,24,50,7,5
40,24,35,45,54,51,47,29,16,47,95,7,5
41,29,49,74,118,157,251,239,88,45,97,6,5
42,26,44,60,94,115,189,157,55,45,95,6,5
43,26,44,60,94,115,189,157,55,45,95,6,5
44,25,44,63,106,142,225,156,55,46,97,6,5
45,24,50,92,152,230,355,445,290,44,95,7,5
46,13,11,4,0,0,0,0,0,30,51,5,5
47,16,17,12,4,0,0,0,0,32,57,5,5
48,21,28,28,14,0,0,0,0,33,64,5,5
49,9,8,2,0,0,0,0,0,9,15,4,5
50,15,25,16,23,15,61,91,80,27,47,6,5
51,41,42,38,32,26,28,34,28,39,85,7,5
52,13,23,30,37,49,53,42,20,16,31,6,5
53,8,16,6,10,6,12,8,4,18,31,6,5
54,8,6,0,0,0,0,0,0,7,12,6,5
55,23,29,29,27,24,14,10,4,18,37,7,5
56,11,10,5,4,2,0,0,0,10,18,5,5
57,41,77,124,163,223,287,412,246,21,50,6,5
58,9,14,11,24,30,68,74,44,18,32,5,5
59,11,10,5,4,2,0,0,0,10,18,5,5
60,11,12,6,0,0,0,0,0,9,16,4,5
61,22,21,10,4,0,0,0,0,39,70,6,5
62,11,8,3,1,0,0,0,0,33,55,5,5
63,13,8,0,0,0,0,0,0,29,49,6,5
64,11,9,5,2,0,0,0,0,24,39,5,5
65,14,10,5,2,0,0,0,0,25,43,5,5
66,21,17,7,4,2,0,0,0,30,54,5,5
67,10,26,21,20,22,12,28,20,38,75,6,5
68,24,28,24,23,22,32,40,40,28,55,6,5
69,24,25,15,8,8,11,10,8,28,54,5,5
70,50,71,96,150,235,271,273,132,38,88,7,5
71,11,9,6,4,2,0,0,0,40,70,5,5
72,30,58,107,177,254,305,329,190,40,87,6,5
73,33,62,113,177,252,305,329,190,42,94,6,5
74,17,20,20,17,8,0,0,0,20,36,6,5
75,17,20,20,17,8,0,0,0,19,35,6,5
76,14,9,4,1,0,0,0,0,16,28,5,5
77,11,9,4,1,0,0,0,0,17,29,5,5
78,23,25,24,23,22,18,16,8,20,40,5,5
79,16,12,9,5,1,0,0,0,18,32,5,5
80,27,37,60,95,147,251,482,320,33,69,6,5
81,18,21,12,7,6,5,4,2,23,44,5,5
82,15,15,10,7,6,5,4,2,23,42,5,5
83,17,19,31,52,74,104,145,140,35,74,5,5
84,12,13,9,10,8,8,10,6,33,68,5,5
85,12,10,8,7,6,4,3,3,39,69,6,5
86,14,15,11,17,18,16,18,10,40,73,6,5
87,49,58,80,119,109,113,113,62,38,91,7,5
88,31,35,44,87,155,233,289,174,40,94,8,5
89,16,13,6,2,0,0,0,0,38,66,5,5
90,15,17,18,17,15,12,13,10,37,79,7,5
91,15,15,12,4,0,0,0,0,36,77,7,5
92,10,8,4,2,0,0,0,0,34,56,5,5
93,19,19,14,10,6,5,4,2,34,67,5,5
94,21,22,21,17,14,16,12,4,32,64,5,5
95,17,11,4,2,0,0,0,0,18,32,5,5
96,39,55,81,124,171,216,221,122,32,65,7,5
97,13,36,72,199,315,476,419,144,34,67,6,5
98,10,31,59,134,224,360,413,161,30,58,6,5
99,7,9,6,0,0,0,0,0,5,9,4,5
100,11,20,16,22,22,36,28,12,45,88,7,4
101,6,24,18,26,26,44,28,12,42,82,6,4
102,16,18,23,50,28,73,73,108,59,115,9,4
103,20,34,38,54,48,76,79,21,32,64,5,4
104,25,41,51,78,92,155,217,65,33,69,7,4
105,16,15,8,3,0,0,0,0,17,30,5,4
106,24,36,30,46,45,46,62,32,39,83,8,4
107,27,44,39,66,69,97,126,110,38,82,8,4
108,24,32,30,46,48,48,60,36,35,70,6,4
109,17,19,14,6,0,0,0,0,16,29,5,4
110,19,13,5,2,0,0,0,0,26,49,6,4
111,9,18,31,51,77,106,136,130,51,95,6,4
112,12,23,36,55,85,117,166,174,52,98,6,4
113,15,17,18,17,18,20,18,10,25,47,5,4
114,15,17,25,35,36,31,29,23,27,51,5,4
115,13,11,5,1,0,0,0,0,42,74,5,4
116,8,23,28,47,61,103,147,79,46,90,8,4
117,0,7,0,5,0,6,0,5,96,121,5,4
118,14,14,8,4,0,0,0,0,12,22,5,4
119,24,36,68,113,156,211,279,261,22,46,7,4
120,33,74,121,171,128,45,50,18,42,82,9,4
121,20,36,56,72,78,40,0,0,14,29,6,4
122,4,27,15,30,46,53,91,65,90,127,9,4
123,23,41,68,103,114,80,26,0,14,31,6,4
124,22,40,79,153,259,478,1027,724,14,33,7,4
125,5,10,13,39,21,28,25,19,32,47,5,4
126,16,24,28,27,28,35,42,30,11,23,5,4
127,5,11,15,23,24,24,20,6,26,37,6,4
128,12,11,6,5,4,2,0,0,11,20,5,4
129,17,18,10,4,0,0,0,0,14,25,5,4
130,22,26,24,12,0,0,0,0,18,35,5,4
131,21,26,26,24,16,10,4,0,16,32,6,4
132,23,30,26,24,20,16,8,0,17,34,5,4
133,12,14,18,21,29,58,104,104,32,51,6,4
134,17,25,26,16,6,2,0,0,13,26,7,4
135,1,0,0,0,0,0,0,0,3,3,2,4
136,18,16,9,7,6,5,2,0,22,40,7,4
137,25,41,63,103,167,84,55,30,16,36,7,4
138,33,68,134,188,197,326,513,729,38,82,7,4
139,18,28,52,103,151,136,56,0,13,28,5,4
140,16,23,26,21,11,0,0,0,12,24,6,4
141,16,21,31,57,90,123,146,164,14,29,5,4
142,8,20,17,46,86,215,364,407,39,61,6,4
143,21,18,8,0,0,0,0,0,19,35,6,4
144,23,25,23,16,7,1,0,0,20,39,5,4
145,46,65,102,170,149,143,257,270,39,87,7,4
146,27,47,88,175,203,255,414,383,40,84,6,4
147,25,43,67,117,93,82,143,135,39,80,6,4
148,31,48,70,111,88,109,184,179,39,82,6,4
149,7,9,6,11,13,13,9,2,29,41,5,4
150,11,31,30,14,6,2,4,0,22,40,6,4
151,14,17,20,33,34,17,0,0,11,22,7,4
152,10,16,22,30,24,12,0,0,8,16,6,4
153,14,13,4,0,0,0,0,0,13,22,4,4
154,11,25,32,42,56,87,131,96,18,33,7,4
155,8,17,16,22,24,18,28,24,12,22,5,4
156,10,11,8,8,8,4,0,0,8,15,5,4
157,2,6,4,0,0,0,0,0,40,63,5,4
